url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/agecheck/app/225860/?snr=1_7_7_230_150_282,Gearbox Software,Action,,24.95,,,Borderlands 2: Mr. Torgue’s Campaign of Carnage,http://store.steampowered.com/app/225860/,{}
http://store.steampowered.com/agecheck/app/225860/?snr=1_7_7_230_150_281,Gearbox Software,Action,,24.95,,,Borderlands 2: Mr. Torgue’s Campaign of Carnage,http://store.steampowered.com/app/225860/,{}
http://store.steampowered.com/app/502970/agecheck?snr=1_7_7_230_150_281,,,,None,,,,http://store.steampowered.com/app/7520/agecheck,{}
http://store.steampowered.com/app/225700/Fallen_Enchantress__Map_Pack_DLC/?snr=1_7_7_230_150_282,Stardock Entertainment,RPG,,None,,,Fallen Enchantress - Map Pack DLC,http://store.steampowered.com/app/225700/Fallen_Enchantress__Map_Pack_DLC/?snr=1_7_7_230_150_282,{}
http://store.steampowered.com/app/220121/C9_Starter_Package_2013/?snr=1_7_7_230_150_282,Cloud 9 Studio,Action,,None,,,C9 Starter Package 2013,http://store.steampowered.com/app/220121/C9_Starter_Package_2013/?snr=1_7_7_230_150_282,{}
http://store.steampowered.com/app/220120/Continent_of_the_Ninth_Seal_Starter_Pack/?snr=1_7_7_230_150_282,Cloud 9 Studio,Action,,None,,,Continent of the Ninth Seal: Starter Pack,http://store.steampowered.com/app/220120/Continent_of_the_Ninth_Seal_Starter_Pack/?snr=1_7_7_230_150_282,{}
http://store.steampowered.com/agecheck/app/335280/?snr=1_7_7_230_150_280,CI Games Deck 13,Action,,24.95,,,Lords of the Fallen - Strength Pack,http://store.steampowered.com/app/335280/,{}
http://store.steampowered.com/agecheck/app/335270/?snr=1_7_7_230_150_280,CI Games Deck 13,Action,,24.95,,,Lords of the Fallen - Agility Pack,http://store.steampowered.com/app/335270/,{}
http://store.steampowered.com/app/220120/Continent_of_the_Ninth_Seal_Starter_Pack/?snr=1_7_7_230_150_281,Cloud 9 Studio,Action,,None,,,Continent of the Ninth Seal: Starter Pack,http://store.steampowered.com/app/220120/Continent_of_the_Ninth_Seal_Starter_Pack/?snr=1_7_7_230_150_281,{}
http://store.steampowered.com/app/503430/N0EXIT/?snr=1_7_7_230_150_281,ma_mutte,Action,No user reviews,2.19,"22 Feb, 2017",,N0-EXIT,http://store.steampowered.com/app/503430/N0EXIT/?snr=1_7_7_230_150_281,{}
http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_279,Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC Abstraction Games,Action,,None,"12 Dec, 2017",,ARK: Aberration - Expansion Pack,http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_279,{}
http://store.steampowered.com/app/270741/Realm_of_the_Mad_God_Slime_Archer_Skin/?snr=1_7_7_230_150_279,Wild Shadow Studios,Action,,None,,,Realm of the Mad God: Slime Archer Skin,http://store.steampowered.com/app/270741/Realm_of_the_Mad_God_Slime_Archer_Skin/?snr=1_7_7_230_150_279,{}
http://store.steampowered.com/app/365381/Battle_Brothers__Digital_Lore__Art_Book/?snr=1_7_7_230_150_279,Overhype Studios,Indie,,95.66,,,Battle Brothers - Digital Lore & Art Book,http://store.steampowered.com/app/365381/Battle_Brothers__Digital_Lore__Art_Book/?snr=1_7_7_230_150_279,{}
http://store.steampowered.com/app/310591/Realm_of_the_Mad_God_New_DLC_2/?snr=1_7_7_230_150_279,Wild Shadow Studios,Action,,None,,,Realm of the Mad God: New DLC 2,http://store.steampowered.com/app/310591/Realm_of_the_Mad_God_New_DLC_2/?snr=1_7_7_230_150_279,{}
