url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/759900/The_13th_Heir__Ragnarok_Chapter_2/?snr=1_7_7_230_150_626,Samuel James Swartout,Action,,None,"20 Dec, 2017",,The 13th Heir - Ragnarok Chapter 2,http://store.steampowered.com/app/759900/The_13th_Heir__Ragnarok_Chapter_2/?snr=1_7_7_230_150_626,{}
http://store.steampowered.com/app/735300/Think_of_the_Children__Official_Soundtrack/?snr=1_7_7_230_150_626,Jammed Up Studios,Action,,None,20 October 2017,,Think of the Children - Official Soundtrack,http://store.steampowered.com/app/735300/Think_of_the_Children__Official_Soundtrack/?snr=1_7_7_230_150_626,{}
http://store.steampowered.com/app/622991/Marvel_vs_Capcom_Infinite__Evil_Ryu_Costume/?snr=1_7_7_230_150_626,Capcom,Action,,5.99,,,Marvel vs. Capcom: Infinite - Evil Ryu Costume,http://store.steampowered.com/app/622991/Marvel_vs_Capcom_Infinite__Evil_Ryu_Costume/?snr=1_7_7_230_150_626,{}
http://store.steampowered.com/app/716081/Trouble_Witches_Originadditional_character__Conon/?snr=1_7_7_230_150_626,Studio SiestA,Action,,None,"21 Dec, 2017",,"Trouble Witches Origin,additional character : Conon",http://store.steampowered.com/app/716081/Trouble_Witches_Originadditional_character__Conon/?snr=1_7_7_230_150_626,{}
http://store.steampowered.com/app/418680/Sparrowhawk_Pack/?snr=1_7_7_230_150_626,Crystal Dynamics,Action,,3.14,,,Sparrowhawk Pack,http://store.steampowered.com/app/418680/Sparrowhawk_Pack/?snr=1_7_7_230_150_626,{}
http://store.steampowered.com/app/418710/Apex_Predator_Pack/?snr=1_7_7_230_150_626,Crystal Dynamics,Action,,3.14,,,Apex Predator Pack,http://store.steampowered.com/app/418710/Apex_Predator_Pack/?snr=1_7_7_230_150_626,{}
http://store.steampowered.com/app/720700/LEGO_Marvel_Super_Heroes_2__Agents_of_Atlas/?snr=1_7_7_230_150_626,TT Games,Action,,None,"19 Dec, 2017",,LEGO® Marvel Super Heroes 2 - Agents of Atlas,http://store.steampowered.com/app/720700/LEGO_Marvel_Super_Heroes_2__Agents_of_Atlas/?snr=1_7_7_230_150_626,{}
http://store.steampowered.com/app/241560/The_Crew/?snr=1_7_7_230_150_625,Ivory Tower in collaboration with Ubisoft Reflections,Action,Mixed,59.99,"1 Dec, 2014",,The Crew™,http://store.steampowered.com/app/241560/The_Crew/?snr=1_7_7_230_150_625,{}
http://store.steampowered.com/agecheck/app/304134/?snr=1_7_7_230_150_632,Edge of Reality,Action,No user reviews,to,,,Loadout: Booty Shake Taunt,http://store.steampowered.com/app/304134/,{}
http://store.steampowered.com/app/418770/Ancient_Vanguard/?snr=1_7_7_230_150_625,Crystal Dynamics,Action,2 user reviews,3.14,,,Ancient Vanguard,http://store.steampowered.com/app/418770/Ancient_Vanguard/?snr=1_7_7_230_150_625,{}
