url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/498240/agecheck?snr=1_7_7_230_150_494,Telltale Games,Adventure,Mostly Positive,45.99,"2 Aug, 2016",,Batman - The Telltale Series,http://store.steampowered.com/app/498240/Batman__The_Telltale_Series/,{}
http://store.steampowered.com/app/508165/Mystic_Destinies_Serendipity_of_Aeons__Deluxe_Edition/?snr=1_7_7_230_150_494,Aeon Dream Studios,Adventure,,None,Dec 2017,,Mystic Destinies: Serendipity of Aeons - Deluxe Edition,http://store.steampowered.com/app/508165/Mystic_Destinies_Serendipity_of_Aeons__Deluxe_Edition/?snr=1_7_7_230_150_494,{}
http://store.steampowered.com/app/365010/Ys_VI__Material_Collection/?snr=1_7_7_230_150_491,Nihon Falcom,Action,,None,,,Ys VI - Material Collection,http://store.steampowered.com/app/365010/Ys_VI__Material_Collection/?snr=1_7_7_230_150_491,{}
http://store.steampowered.com/app/212890/Dishonored__Void_Walker_Arsenal/?snr=1_7_7_230_150_489,Arkane Studios,Action,,259.99,,,Dishonored - Void Walker Arsenal,http://store.steampowered.com/app/212890/Dishonored__Void_Walker_Arsenal/?snr=1_7_7_230_150_489,{}
http://store.steampowered.com/app/756210/Talsaluq_Tower_of_Infinity/?snr=1_7_7_230_150_494,Legion Ivory,Adventure,,None,"15 Dec, 2017",,Talsaluq: Tower of Infinity,http://store.steampowered.com/app/756210/Talsaluq_Tower_of_Infinity/?snr=1_7_7_230_150_494,{}
http://store.steampowered.com/app/229480/Dungeons__Dragons_Chronicles_of_Mystara/?snr=1_7_7_230_150_494,Iron Galaxy Studios,Action,Very Positive,24.99,"18 Jun, 2013",,Dungeons & Dragons: Chronicles of Mystara,http://store.steampowered.com/app/229480/Dungeons__Dragons_Chronicles_of_Mystara/?snr=1_7_7_230_150_494,{}
http://store.steampowered.com/app/242780/Cognition_An_Erica_Reed_Thriller/?snr=1_7_7_230_150_489,Phoenix Online Studios,Adventure,Very Positive,27.99,"19 Sep, 2013",,Cognition: An Erica Reed Thriller,http://store.steampowered.com/app/242780/Cognition_An_Erica_Reed_Thriller/?snr=1_7_7_230_150_489,{}
http://store.steampowered.com/app/293057/Watch_Dogs__Conspiracy/?snr=1_7_7_230_150_493,Ubisoft,Action,9 user reviews,9.99,,,Watch_Dogs - Conspiracy,http://store.steampowered.com/app/293057/Watch_Dogs__Conspiracy/?snr=1_7_7_230_150_493,{}
http://store.steampowered.com/agecheck/app/462605/?snr=1_7_7_230_150_492,MercurySteam,Action,,8.39,To be announced,,Raiders of the Broken Planet - Hades Betrayal Campaign,http://store.steampowered.com/app/462605/,{}
http://store.steampowered.com/app/229480/Dungeons__Dragons_Chronicles_of_Mystara/?snr=1_7_7_230_150_493,Iron Galaxy Studios,Action,Very Positive,24.99,"18 Jun, 2013",,Dungeons & Dragons: Chronicles of Mystara,http://store.steampowered.com/app/229480/Dungeons__Dragons_Chronicles_of_Mystara/?snr=1_7_7_230_150_493,{}
http://store.steampowered.com/app/503430/N0EXIT/?snr=1_7_7_230_150_493,ma_mutte,Action,No user reviews,2.19,"22 Feb, 2017",,N0-EXIT,http://store.steampowered.com/app/503430/N0EXIT/?snr=1_7_7_230_150_493,{}
http://store.steampowered.com/agecheck/app/462604/?snr=1_7_7_230_150_492,MercurySteam,Action,,8.39,To be announced,,Raiders of the Broken Planet - Council Apocalypse Campaign,http://store.steampowered.com/app/462604/,{}
http://store.steampowered.com/agecheck/app/437351/?snr=1_7_7_230_150_492,Treyarch,Action,,100.00,,,Call of Duty: Black Ops III - Multiplayer Starter Pack Upgrade,http://store.steampowered.com/app/437351/,{}
http://store.steampowered.com/agecheck/app/462604/?snr=1_7_7_230_150_491,MercurySteam,Action,,8.39,To be announced,,Raiders of the Broken Planet - Council Apocalypse Campaign,http://store.steampowered.com/app/462604/,{}
http://store.steampowered.com/agecheck/app/437351/?snr=1_7_7_230_150_491,Treyarch,Action,,100.00,,,Call of Duty: Black Ops III - Multiplayer Starter Pack Upgrade,http://store.steampowered.com/app/437351/,{}
http://store.steampowered.com/app/367310/Cannon_Brawl__Soundtrack/?snr=1_7_7_230_150_491,Disaterpeace,Action,,10.49,,,Cannon Brawl - Soundtrack,http://store.steampowered.com/app/367310/Cannon_Brawl__Soundtrack/?snr=1_7_7_230_150_491,{}
http://store.steampowered.com/agecheck/app/462605/?snr=1_7_7_230_150_491,MercurySteam,Action,,8.39,To be announced,,Raiders of the Broken Planet - Hades Betrayal Campaign,http://store.steampowered.com/app/462605/,{}
http://store.steampowered.com/app/237810/Shadowrun_Returns_Deluxe_DLC/?snr=1_7_7_230_150_489,Harebrained Schemes,Adventure,,19.99,,,Shadowrun Returns Deluxe DLC,http://store.steampowered.com/app/237810/Shadowrun_Returns_Deluxe_DLC/?snr=1_7_7_230_150_489,{}
http://store.steampowered.com/app/318400/Middleearth_Shadow_of_Mordor__Test_of_Speed/?snr=1_7_7_230_150_490,"Monolith Productions, Inc. Feral Interactive (Mac) Feral Interactive (Linux)",Action,9 user reviews,6.29,,,Middle-earth: Shadow of Mordor - Test of Speed,http://store.steampowered.com/app/318400/Middleearth_Shadow_of_Mordor__Test_of_Speed/?snr=1_7_7_230_150_490,{}
http://store.steampowered.com/app/365010/Ys_VI__Material_Collection/?snr=1_7_7_230_150_490,Nihon Falcom,Action,,None,,,Ys VI - Material Collection,http://store.steampowered.com/app/365010/Ys_VI__Material_Collection/?snr=1_7_7_230_150_490,{}
http://store.steampowered.com/app/243120/Betrayer/?snr=1_7_7_230_150_489,Blackpowder Games,Action,Very Positive,10.49,"24 Mar, 2014",,Betrayer,http://store.steampowered.com/app/243120/Betrayer/?snr=1_7_7_230_150_489,{}
http://store.steampowered.com/app/214610/Cherry_Tree_High_Comedy_Club/?snr=1_7_7_230_150_489,773,Adventure,Very Positive,15.99,"8 Nov, 2012",,Cherry Tree High Comedy Club,http://store.steampowered.com/app/214610/Cherry_Tree_High_Comedy_Club/?snr=1_7_7_230_150_489,{}
http://store.steampowered.com/app/58230/MacGuffins_Curse/?snr=1_7_7_230_150_488,Brawsome,Adventure,Positive,16.99,"19 Apr, 2012",,MacGuffin's Curse,http://store.steampowered.com/app/58230/MacGuffins_Curse/?snr=1_7_7_230_150_488,{}
http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_486,Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC Abstraction Games,Action,,None,"12 Dec, 2017",,ARK: Aberration - Expansion Pack,http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_486,{}
http://store.steampowered.com/app/685430/Run_Crabby_Run/?snr=1_7_7_230_150_486,Crabby Team,Adventure,1 user reviews,2.19,"2 Aug, 2017",,Run Crabby Run,http://store.steampowered.com/app/685430/Run_Crabby_Run/?snr=1_7_7_230_150_486,{}
http://store.steampowered.com/app/499460/Tomato_Jones/?snr=1_7_7_230_150_486,HA Studio Ltd.,Action,Very Positive,4.29,"11 Jul, 2016",,Tomato Jones,http://store.steampowered.com/app/499460/Tomato_Jones/?snr=1_7_7_230_150_486,{}
http://store.steampowered.com/app/584091/Little_Nightmares__Upsidedown_Teapot/?snr=1_7_7_230_150_484,Tarsier Studios,Adventure,,2.19,,,Little Nightmares - Upside-down Teapot,http://store.steampowered.com/app/584091/Little_Nightmares__Upsidedown_Teapot/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/agecheck/app/576617/?snr=1_7_7_230_150_484,Brightly Studios,Adventure,,2.69,Dec 2017,,Galaxy Girls - Poker Night,http://store.steampowered.com/app/576617/,{}
http://store.steampowered.com/app/759900/The_13th_Heir__Ragnarok_Chapter_2/?snr=1_7_7_230_150_485,Samuel James Swartout,Action,,None,"20 Dec, 2017",,The 13th Heir - Ragnarok Chapter 2,http://store.steampowered.com/app/759900/The_13th_Heir__Ragnarok_Chapter_2/?snr=1_7_7_230_150_485,{}
http://store.steampowered.com/app/659780/Darkness_and_a_Crowd/?snr=1_7_7_230_150_485,Seth Albertus,Action,,None,"30 Mar, 2018",,Darkness and a Crowd,http://store.steampowered.com/app/659780/Darkness_and_a_Crowd/?snr=1_7_7_230_150_485,{}
http://store.steampowered.com/app/712270/agecheck?snr=1_7_7_230_150_484,Yai Gameworks,Adventure,,2.19,"15 Dec, 2017",,The Crack I Found That Taketh - Official Soundtrack,http://store.steampowered.com/app/712270/The_Crack_I_Found_That_Taketh__Official_Soundtrack/,{}
http://store.steampowered.com/app/418770/Ancient_Vanguard/?snr=1_7_7_230_150_484,Crystal Dynamics,Action,2 user reviews,3.14,,,Ancient Vanguard,http://store.steampowered.com/app/418770/Ancient_Vanguard/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/640350/ESSENCE__VR_Addon/?snr=1_7_7_230_150_484,ONEVISION GAMES,Adventure,,None,Coming Soon,,ESSENCE - VR Addon,http://store.steampowered.com/app/640350/ESSENCE__VR_Addon/?snr=1_7_7_230_150_484,{}
