url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/436667/Rocksmith_2014__Shocking_Blue__Venus/?snr=1_7_7_230_150_311,Ubisoft - San Francisco,Casual,1 user reviews,5.99,"19 Jul, 2016",,Rocksmith® 2014 – Shocking Blue - “Venus”,http://store.steampowered.com/app/436667/Rocksmith_2014__Shocking_Blue__Venus/?snr=1_7_7_230_150_311,{}
http://store.steampowered.com/app/590229/Rocksmith_2014_Edition__Remastered__Surf_Rock_Song_Pack_II/?snr=1_7_7_230_150_407,Ubisoft - San Francisco,Casual,,16.99,"6 Jun, 2017",,Rocksmith® 2014 Edition – Remastered – Surf Rock Song Pack II,http://store.steampowered.com/app/590229/Rocksmith_2014_Edition__Remastered__Surf_Rock_Song_Pack_II/?snr=1_7_7_230_150_407,{}
http://store.steampowered.com/app/505450/Classic_Remix_World/?snr=1_7_7_230_150_408,BBG Entertainment GmbH,Action,,4.29,"13 Sep, 2016",,Classic Remix World,http://store.steampowered.com/app/505450/Classic_Remix_World/?snr=1_7_7_230_150_408,{}
http://store.steampowered.com/app/640210/Just_One_Line/?snr=1_7_7_230_150_362,JOL Studios,Adventure,Positive,19.99,"10 Jul, 2017",,Just One Line,http://store.steampowered.com/app/640210/Just_One_Line/?snr=1_7_7_230_150_362,{}
http://store.steampowered.com/app/637709/Rocksmith_2014_Edition__Remastered__The_Monkees__Pleasant_Valley_Sunday/?snr=1_7_7_230_150_333,Ubisoft - San Francisco,Casual,,5.99,"1 Aug, 2017",,Rocksmith® 2014 Edition – Remastered – The Monkees - “Pleasant Valley Sunday”,http://store.steampowered.com/app/637709/Rocksmith_2014_Edition__Remastered__The_Monkees__Pleasant_Valley_Sunday/?snr=1_7_7_230_150_333,{}
http://store.steampowered.com/app/373960/Audiosurf_2_Demo/?snr=1_7_7_230_150_414,Dylan Fitterer,Casual,Mostly Negative,None,"26 May, 2015",,Audiosurf 2 Demo,http://store.steampowered.com/app/373960/Audiosurf_2_Demo/?snr=1_7_7_230_150_414,{}
http://store.steampowered.com/app/210190/Rocksmith_Demo/?snr=1_7_7_230_150_408,Ubisoft - San Francisco,Casual,Mixed,None,"27 Sep, 2012",,Rocksmith™ Demo,http://store.steampowered.com/app/210190/Rocksmith_Demo/?snr=1_7_7_230_150_408,{}
http://store.steampowered.com/agecheck/app/393042/?snr=1_7_7_230_150_393,Winged Cloud,Casual,6 user reviews,4.29,"11 Aug, 2015",,Sakura Clicker - Chocolate Outfit,http://store.steampowered.com/app/393042/,{}
http://store.steampowered.com/app/637725/Rocksmith_2014_Edition__Remastered__Bombay_Bicycle_Club__Your_Eyes/?snr=1_7_7_230_150_334,Ubisoft - San Francisco,Casual,,5.99,"29 Aug, 2017",,Rocksmith® 2014 Edition – Remastered – Bombay Bicycle Club - “Your Eyes”,http://store.steampowered.com/app/637725/Rocksmith_2014_Edition__Remastered__Bombay_Bicycle_Club__Your_Eyes/?snr=1_7_7_230_150_334,{}
http://store.steampowered.com/app/509634/Rocksmith_2014_Edition__Remastered__Shinedown__Simple_Man/?snr=1_7_7_230_150_409,Ubisoft - San Francisco,Casual,,5.99,"11 Oct, 2016",,Rocksmith® 2014 Edition – Remastered – Shinedown - “Simple Man”,http://store.steampowered.com/app/509634/Rocksmith_2014_Edition__Remastered__Shinedown__Simple_Man/?snr=1_7_7_230_150_409,{}
http://store.steampowered.com/app/637753/Rocksmith_2014_Edition__Remastered__2000s_Mix_Song_Pack_III/?snr=1_7_7_230_150_361,Ubisoft - San Francisco,Casual,,14.99,"10 Oct, 2017",,Rocksmith® 2014 Edition – Remastered – 2000s Mix Song Pack III,http://store.steampowered.com/app/637753/Rocksmith_2014_Edition__Remastered__2000s_Mix_Song_Pack_III/?snr=1_7_7_230_150_361,{}
http://store.steampowered.com/app/754270/Hexvade/?snr=1_7_7_230_150_408,Zeritum,Action,,None,Q1 2018,,Hexvade,http://store.steampowered.com/app/754270/Hexvade/?snr=1_7_7_230_150_408,{}
http://store.steampowered.com/app/509687/Rocksmith_2014_Edition__Remastered__Green_Day__Bang_Bang/?snr=1_7_7_230_150_413,Ubisoft - San Francisco,Casual,,5.99,"20 Dec, 2016",,Rocksmith® 2014 Edition – Remastered – Green Day - “Bang Bang”,http://store.steampowered.com/app/509687/Rocksmith_2014_Edition__Remastered__Green_Day__Bang_Bang/?snr=1_7_7_230_150_413,{}
http://store.steampowered.com/app/676080/Super_POTUS_Trump_The_Full_Game/?snr=1_7_7_230_150_348,"Emerson Design, Inc.",Casual,9 user reviews,4.29,"9 Aug, 2017",,Super POTUS Trump: The Full Game!,http://store.steampowered.com/app/676080/Super_POTUS_Trump_The_Full_Game/?snr=1_7_7_230_150_348,{}
http://store.steampowered.com/app/623720/agecheck?snr=1_7_7_230_150_339,,,,None,,,,http://store.steampowered.com/app/606520/agecheck,{}
http://store.steampowered.com/app/530060/Overcooked__The_Lost_Morsel/?snr=1_7_7_230_150_417,Ghost Town Games Ltd.,Action,Mixed,10.49,"15 Nov, 2016",,Overcooked - The Lost Morsel,http://store.steampowered.com/app/530060/Overcooked__The_Lost_Morsel/?snr=1_7_7_230_150_417,{}
http://store.steampowered.com/app/468724/Tabletop_Simulator__Spirits_of_the_Rice_Paddy/?snr=1_7_7_230_150_402,Berserk Games Ape Games,Casual,No user reviews,11.99,"7 Oct, 2016",,Tabletop Simulator - Spirits of the Rice Paddy,http://store.steampowered.com/app/468724/Tabletop_Simulator__Spirits_of_the_Rice_Paddy/?snr=1_7_7_230_150_402,{}
http://store.steampowered.com/app/629310/Darkarta_A_Broken_Hearts_Quest_CE__Music_Pack/?snr=1_7_7_230_150_360,Tuttifrutti Interactive,Adventure,,19.99,"1 May, 2017",,Darkarta: A Broken Heart's Quest CE - Music Pack,http://store.steampowered.com/app/629310/Darkarta_A_Broken_Hearts_Quest_CE__Music_Pack/?snr=1_7_7_230_150_360,{}
