url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/372020/Fantasy_Grounds__DD_Hoard_of_the_Dragon_Queen/?snr=1_7_7_230_150_44,"SmiteWorks USA, LLC",Indie,3 user reviews,37.99,"18 May, 2015",,Fantasy Grounds - D&D Hoard of the Dragon Queen,http://store.steampowered.com/app/372020/Fantasy_Grounds__DD_Hoard_of_the_Dragon_Queen/?snr=1_7_7_230_150_44,{}
http://store.steampowered.com/app/513010/Fantasy_Grounds__5E_Tome_of_Beasts/?snr=1_7_7_230_150_45,"SmiteWorks USA, LLC",Indie,1 user reviews,93.99,"9 Aug, 2016",,Fantasy Grounds - 5E: Tome of Beasts,http://store.steampowered.com/app/513010/Fantasy_Grounds__5E_Tome_of_Beasts/?snr=1_7_7_230_150_45,{}
http://store.steampowered.com/app/501230/Fantasy_Grounds__Primeval_Thule_Secret_of_the_MoonDoor_5E/?snr=1_7_7_230_150_52,"SmiteWorks USA, LLC",Indie,,6.49,"14 Jul, 2016",,Fantasy Grounds - Primeval Thule: Secret of the Moon-Door (5E),http://store.steampowered.com/app/501230/Fantasy_Grounds__Primeval_Thule_Secret_of_the_MoonDoor_5E/?snr=1_7_7_230_150_52,{}
http://store.steampowered.com/app/383080/agecheck?snr=1_7_7_230_150_10,Winged Cloud,Casual,Very Positive,to,"29 Jul, 2015",,Sakura Clicker,http://store.steampowered.com/app/383080/Sakura_Clicker/,{}
http://store.steampowered.com/app/223593/The_Sims_3_Supernatural/?snr=1_7_7_230_150_43,The Sims Studio,Simulation,Very Positive,69.98,"20 Nov, 2012",,The Sims 3: Supernatural,http://store.steampowered.com/app/223593/The_Sims_3_Supernatural/?snr=1_7_7_230_150_43,{}
http://store.steampowered.com/app/20920/agecheck?snr=1_7_7_230_150_10,CD PROJEKT RED,RPG,Very Positive,36.99,"17 May, 2011",88,The Witcher 2: Assassins of Kings Enhanced Edition,http://store.steampowered.com/app/20920/The_Witcher_2_Assassins_of_Kings_Enhanced_Edition/,{}
http://store.steampowered.com/app/404014/agecheck?snr=1_7_7_230_150_43,Creative Assembly Feral Interactive (Linux) Feral Interactive (Mac),Action,Very Positive,15.99,"20 Oct, 2016",,Total War: WARHAMMER - The King and the Warlord,http://store.steampowered.com/app/404014/Total_War_WARHAMMER__The_King_and_the_Warlord/,{}
http://store.steampowered.com/app/358010/Flamberge_Demo/?snr=1_7_7_230_150_45,Hydezeke,RPG,Positive,None,"1 Jan, 2015",,Flamberge Demo,http://store.steampowered.com/app/358010/Flamberge_Demo/?snr=1_7_7_230_150_45,{}
http://store.steampowered.com/app/629970/Beast_Pets/?snr=1_7_7_230_150_42,"Beast, Inc.",Casual,,None,Coming Soon!,,Beast Pets,http://store.steampowered.com/app/629970/Beast_Pets/?snr=1_7_7_230_150_42,{}
http://store.steampowered.com/app/378720/Thea_The_Awakening/?snr=1_7_7_230_150_9,MuHa Games,Indie,Very Positive,36.99,"20 Nov, 2015",,Thea: The Awakening,http://store.steampowered.com/app/378720/Thea_The_Awakening/?snr=1_7_7_230_150_9,{}
http://store.steampowered.com/app/661990/agecheck?snr=1_7_7_230_150_42,EXAMU Inc.,Action,,55.99,"12 Dec, 2017",,Arcana Heart 3 LOVEMAX SIXSTARS!!!!!!,http://store.steampowered.com/app/661990/Arcana_Heart_3_LOVEMAX_SIXSTARS/,{}
http://store.steampowered.com/app/268610/RPG_Maker_VX_Ace__High_Fantasy_The_Deep/?snr=1_7_7_230_150_44,Degica,Design,5 user reviews,11.99,"13 Dec, 2013",,RPG Maker VX Ace - High Fantasy: The Deep,http://store.steampowered.com/app/268610/RPG_Maker_VX_Ace__High_Fantasy_The_Deep/?snr=1_7_7_230_150_44,{}
http://store.steampowered.com/app/706590/Fantasy_Grounds__Pixies_on_Parade_5E/?snr=1_7_7_230_150_46,"SmiteWorks USA, LLC",Indie,,14.49,"7 Sep, 2017",,Fantasy Grounds - Pixies on Parade (5E),http://store.steampowered.com/app/706590/Fantasy_Grounds__Pixies_on_Parade_5E/?snr=1_7_7_230_150_46,{}
http://store.steampowered.com/app/718520/Fantasy_Grounds__A07_Alchemists_Errand_5E/?snr=1_7_7_230_150_46,"SmiteWorks USA, LLC",Indie,,14.49,"5 Oct, 2017",,Fantasy Grounds - A07: Alchemist's Errand (5E),http://store.steampowered.com/app/718520/Fantasy_Grounds__A07_Alchemists_Errand_5E/?snr=1_7_7_230_150_46,{}
http://store.steampowered.com/app/709600/Fantasy_Grounds__Ultimate_Bestiary_Revenge_of_the_Horde_5E/?snr=1_7_7_230_150_46,"SmiteWorks USA, LLC",Indie,,28.99,"7 Sep, 2017",,Fantasy Grounds - Ultimate Bestiary: Revenge of the Horde (5E),http://store.steampowered.com/app/709600/Fantasy_Grounds__Ultimate_Bestiary_Revenge_of_the_Horde_5E/?snr=1_7_7_230_150_46,{}
http://store.steampowered.com/app/737320/Fantasy_Grounds__Noble_Cause_Bloodied_Hands_5E/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,20.69,"18 Oct, 2017",,"Fantasy Grounds - Noble Cause, Bloodied Hands (5E)",http://store.steampowered.com/app/737320/Fantasy_Grounds__Noble_Cause_Bloodied_Hands_5E/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/728640/Fantasy_Grounds__Pathfinder_RPG__Hells_Rebels_AP_1_In_Hells_Bright_Shadow_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,47.49,"10 Oct, 2017",,Fantasy Grounds - Pathfinder RPG - Hell's Rebels AP 1: In Hell's Bright Shadow (PFRPG),http://store.steampowered.com/app/728640/Fantasy_Grounds__Pathfinder_RPG__Hells_Rebels_AP_1_In_Hells_Bright_Shadow_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/640300/Run_Of_Mydan/?snr=1_7_7_230_150_21,Virtew,Action,Positive,36.99,"28 Jul, 2017",,Run Of Mydan,http://store.steampowered.com/app/640300/Run_Of_Mydan/?snr=1_7_7_230_150_21,{}
http://store.steampowered.com/app/715480/Fantasy_Grounds__Pathfinder_RPG__Ultimate_Magic_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,84.99,"14 Sep, 2017",,Fantasy Grounds - Pathfinder RPG - Ultimate Magic (PFRPG),http://store.steampowered.com/app/715480/Fantasy_Grounds__Pathfinder_RPG__Ultimate_Magic_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/741170/Fantasy_Grounds__NEW_WOiN/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,37.99,"26 Oct, 2017",,Fantasy Grounds - N.E.W. (WOiN),http://store.steampowered.com/app/741170/Fantasy_Grounds__NEW_WOiN/?snr=1_7_7_230_150_47,{}
