url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/727960/Xagia_Wars/?snr=1_7_7_230_150_518,NextHeaven,Casual,,None,2018,,Xagia Wars,http://store.steampowered.com/app/727960/Xagia_Wars/?snr=1_7_7_230_150_518,{}
http://store.steampowered.com/app/696770/KNOSSOS/?snr=1_7_7_230_150_517,Svarun Entertainment,Adventure,,None,January 2019,,K'NOSSOS,http://store.steampowered.com/app/696770/KNOSSOS/?snr=1_7_7_230_150_517,{}
http://store.steampowered.com/app/684840/agecheck?snr=1_7_7_230_150_517,Gory Gaming,Action,,28.99,Jan 2018,,Days Of Purgatory,http://store.steampowered.com/app/684840/Days_Of_Purgatory/,{}
http://store.steampowered.com/app/677920/Acucalypse/?snr=1_7_7_230_150_517,Trifulca Force,Action,,None,2018 Q1,,Acucalypse,http://store.steampowered.com/app/677920/Acucalypse/?snr=1_7_7_230_150_517,{}
http://store.steampowered.com/app/671430/agecheck?snr=1_7_7_230_150_516,Robot Wizard,Adventure,,44.99,2018,,Jengo,http://store.steampowered.com/app/671430/Jengo/,{}
http://store.steampowered.com/app/680590/Minotaur/?snr=1_7_7_230_150_517,U7 committee,Adventure,,None,Q1 2018,,Minotaur,http://store.steampowered.com/app/680590/Minotaur/?snr=1_7_7_230_150_517,{}
http://store.steampowered.com/app/700360/KnightOut/?snr=1_7_7_230_150_517,2nd Studio,Action,,None,Q1 2018,,KnightOut,http://store.steampowered.com/app/700360/KnightOut/?snr=1_7_7_230_150_517,{}
http://store.steampowered.com/app/670750/0N_0W/?snr=1_7_7_230_150_516,Colorfiction,Adventure,,None,Q1 2018,,0°N 0°W,http://store.steampowered.com/app/670750/0N_0W/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/659030/Black_Death_Divarication/?snr=1_7_7_230_150_515,Red Spinner Studio,Action,,None,2017,,Black Death: Divarication,http://store.steampowered.com/app/659030/Black_Death_Divarication/?snr=1_7_7_230_150_515,{}
http://store.steampowered.com/app/682740/Data_Thief/?snr=1_7_7_230_150_516,Caliber Seraphim Nicholas Carlson Jorge Castaneda James Smith,Indie,,None,"21 Dec, 2017",,Data Thief,http://store.steampowered.com/app/682740/Data_Thief/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/678680/agecheck?snr=1_7_7_230_150_516,7DOTS,Adventure,,16.59,TBD,,Kilmonger,http://store.steampowered.com/app/678680/Kilmonger/,{}
http://store.steampowered.com/app/682670/__The_Prototype/?snr=1_7_7_230_150_516,发胶事务所 Hairgel Agency,Adventure,,None,"25 Dec, 2017",,初颜 - The Prototype,http://store.steampowered.com/app/682670/__The_Prototype/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/674930/Boyfriend_Dungeon/?snr=1_7_7_230_150_516,Kitfox Games,Indie,,None,2019,,Boyfriend Dungeon,http://store.steampowered.com/app/674930/Boyfriend_Dungeon/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/680750/Destination_Primus_Vita__Episode_1_Austin/?snr=1_7_7_230_150_516,Epsilon Games,Adventure,,None,"6 Nov, 2017",,Destination Primus Vita - Episode 1: Austin,http://store.steampowered.com/app/680750/Destination_Primus_Vita__Episode_1_Austin/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/679420/RoVR/?snr=1_7_7_230_150_516,Ridgeline Labs,Casual,,None,March 2018,,RoVR,http://store.steampowered.com/app/679420/RoVR/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/669740/Tower_Bombarde/?snr=1_7_7_230_150_516,SaintHeiser,Casual,,None,2017,,Tower Bombarde,http://store.steampowered.com/app/669740/Tower_Bombarde/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/677920/Acucalypse/?snr=1_7_7_230_150_516,Trifulca Force,Action,,None,2018 Q1,,Acucalypse,http://store.steampowered.com/app/677920/Acucalypse/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/671770/Reality_Raiders/?snr=1_7_7_230_150_516,SumRndmDde,Adventure,,None,Jun 2018,,Reality Raiders,http://store.steampowered.com/app/671770/Reality_Raiders/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/677180/Pantropy/?snr=1_7_7_230_150_516,Brain Stone GmbH,Action,,None,TBA,,Pantropy,http://store.steampowered.com/app/677180/Pantropy/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/670050/Infantry/?snr=1_7_7_230_150_516,Lattasoft,Action,,None,"13 Apr, 2018",,Infantry,http://store.steampowered.com/app/670050/Infantry/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/677160/We_Were_Here_Too/?snr=1_7_7_230_150_516,Total Mayhem Games,Adventure,,None,"2 Feb, 2018",,We Were Here Too,http://store.steampowered.com/app/677160/We_Were_Here_Too/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/682180/Tile_Battle/?snr=1_7_7_230_150_516,Masterstrike LadrikDev,Action,,None,Q1 - Q2 2018,,Tile Battle,http://store.steampowered.com/app/682180/Tile_Battle/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/680590/Minotaur/?snr=1_7_7_230_150_516,U7 committee,Adventure,,None,Q1 2018,,Minotaur,http://store.steampowered.com/app/680590/Minotaur/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/669950/agecheck?snr=1_7_7_230_150_516,Big Way,Action,,8.39,Apr 2018,,Big Drunk Satanic Massacre,http://store.steampowered.com/app/669950/Big_Drunk_Satanic_Massacre/,{}
http://store.steampowered.com/app/669730/Mind_Trap/?snr=1_7_7_230_150_516,SaintHeiser,Adventure,,None,SOON,,Mind Trap,http://store.steampowered.com/app/669730/Mind_Trap/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/667270/agecheck?snr=1_7_7_230_150_516,Yai Gameworks,Adventure,,2.19,2018,,Close Your Eyes: Intermission,http://store.steampowered.com/app/667270/Close_Your_Eyes_Intermission/,{}
http://store.steampowered.com/app/674500/Total_Tank_Simulator/?snr=1_7_7_230_150_516,Noobz from Poland,Action,,None,TBA,,Total Tank Simulator,http://store.steampowered.com/app/674500/Total_Tank_Simulator/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/674760/The_Executioner_Prologue/?snr=1_7_7_230_150_516,L. Stotch,Action,,None,"30 Jan, 2018",,The Executioner: Prologue,http://store.steampowered.com/app/674760/The_Executioner_Prologue/?snr=1_7_7_230_150_516,{}
http://store.steampowered.com/app/718220/NeoBoom2/?snr=1_7_7_230_150_501,BJGameInd,Indie,No user reviews,2.29,"30 Oct, 2017",,NeoBoom2,http://store.steampowered.com/app/718220/NeoBoom2/?snr=1_7_7_230_150_501,{}
http://store.steampowered.com/app/408440/Dream_Factory/?snr=1_7_7_230_150_500,The Tambourine,Indie,Mostly Negative,1.99,"2 Nov, 2015",,Dream Factory,http://store.steampowered.com/app/408440/Dream_Factory/?snr=1_7_7_230_150_500,{}
http://store.steampowered.com/app/220980/CRYENGINE/?snr=1_7_7_230_150_510,Crytek,Animation,Mostly Positive,None,,,CRYENGINE,http://store.steampowered.com/app/220980/CRYENGINE/?snr=1_7_7_230_150_510,{}
http://store.steampowered.com/agecheck/app/352010/?snr=1_7_7_230_150_500,BurstRay Games,Adventure,Mixed,16.59,"14 Aug, 2015",,Beach Bounce,http://store.steampowered.com/app/352010/,{}
http://store.steampowered.com/app/660560/Fishing_on_the_Fly/?snr=1_7_7_230_150_515,Numicus Studios,Indie,,None,Dec 2017,,Fishing on the Fly,http://store.steampowered.com/app/660560/Fishing_on_the_Fly/?snr=1_7_7_230_150_515,{}
