url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_108,Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC Abstraction Games,Action,,None,"12 Dec, 2017",,ARK: Aberration - Expansion Pack,http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_108,{}
http://store.steampowered.com/app/331380/Goat_Simulator_MMO_Simulator/?snr=1_7_7_230_150_95,Coffee Stain Studios,Casual,No user reviews,None,"20 Nov, 2014",,Goat Simulator: MMO Simulator,http://store.steampowered.com/app/331380/Goat_Simulator_MMO_Simulator/?snr=1_7_7_230_150_95,{}
http://store.steampowered.com/agecheck/app/275590/?snr=1_7_7_230_150_93,OVERKILL - a Starbreeze Studio.,Action,Mixed,Price:,"30 Jan, 2014",,PAYDAY 2: Gage Weapon Pack #02,http://store.steampowered.com/app/275590/,{}
http://store.steampowered.com/app/316542/My_Lands_Age_of_Prosperity__Premium_DLC_Pack/?snr=1_7_7_230_150_94,Gravvit Ltd Forbes  Consult Ltd,Casual,No user reviews,47.99,"16 Sep, 2014",,My Lands: Age of Prosperity - Premium DLC Pack,http://store.steampowered.com/app/316542/My_Lands_Age_of_Prosperity__Premium_DLC_Pack/?snr=1_7_7_230_150_94,{}
http://store.steampowered.com/agecheck/app/259252/?snr=1_7_7_230_150_94,Infinity Ward,Action,9 user reviews,30.99,"3 Jul, 2014",,Call of Duty®: Ghosts - Invasion,http://store.steampowered.com/app/259252/,{}
http://store.steampowered.com/app/500290/Of_Guards_And_Thieves__Permanent_Gold_Account/?snr=1_7_7_230_150_93,Subvert Games,Action,Mostly Positive,17.99,"8 Dec, 2016",,Of Guards And Thieves - Permanent Gold Account,http://store.steampowered.com/app/500290/Of_Guards_And_Thieves__Permanent_Gold_Account/?snr=1_7_7_230_150_93,{}
http://store.steampowered.com/app/327280/Total_War_ROME_II__Wrath_of_Sparta_Campaign_Pack/?snr=1_7_7_230_150_93,Creative Assembly,Strategy,Mixed,27.99,"16 Dec, 2014",,Total War: ROME II - Wrath of Sparta Campaign Pack,http://store.steampowered.com/app/327280/Total_War_ROME_II__Wrath_of_Sparta_Campaign_Pack/?snr=1_7_7_230_150_93,{}
http://store.steampowered.com/agecheck/app/218560/?snr=1_7_7_230_150_96,Gearbox Software Aspyr (Mac & Linux),Action,Mostly Negative,44.99,"20 Sep, 2012",,Borderlands 2 Season Pass,http://store.steampowered.com/app/218560/,{}
http://store.steampowered.com/app/596820/Steam_Rails_to_Riches__Carcassonne_Map/?snr=1_7_7_230_150_95,Acram Digital Mobo Studio,Casual,,10.49,"27 Mar, 2017",,Steam: Rails to Riches - Carcassonne Map,http://store.steampowered.com/app/596820/Steam_Rails_to_Riches__Carcassonne_Map/?snr=1_7_7_230_150_95,{}
http://store.steampowered.com/agecheck/app/317660/?snr=1_7_7_230_150_95,Sledgehammer Games Raven Software,Action,Mixed,89.99,Nov 2014,,Call of Duty®: Advanced Warfare - Season Pass,http://store.steampowered.com/app/317660/,{}
http://store.steampowered.com/app/325954/Train_Simulator_WCML_Trent_Valley_Route_AddOn/?snr=1_7_7_230_150_91,Thomson Interactive,Simulation,Positive,69.99,"8 Jul, 2015",,Train Simulator: WCML Trent Valley Route Add-On,http://store.steampowered.com/app/325954/Train_Simulator_WCML_Trent_Valley_Route_AddOn/?snr=1_7_7_230_150_91,{}
http://store.steampowered.com/agecheck/app/271520/?snr=1_7_7_230_150_93,Edge of Reality,Action,Mostly Positive,36.99,"31 Jan, 2014",,Loadout Steam Launch Starter Pack,http://store.steampowered.com/app/271520/,{}
http://store.steampowered.com/app/591812/agecheck?snr=1_7_7_230_150_92,,,,None,,,,http://store.steampowered.com/app/375230/agecheck,{}
http://store.steampowered.com/agecheck/app/319090/?snr=1_7_7_230_150_95,2K Australia Gearbox Software Aspyr (Mac & Linux),Action,Mixed,44.99,"24 Mar, 2015",,Borderlands: The Pre-Sequel Season Pass,http://store.steampowered.com/app/319090/,{}
http://store.steampowered.com/agecheck/app/267380/?snr=1_7_7_230_150_93,OVERKILL - a Starbreeze Studio.,Action,Mixed,Price:,"5 Dec, 2013",,PAYDAY 2: Gage Weapon Pack #01,http://store.steampowered.com/app/267380/,{}
http://store.steampowered.com/app/615380/Expansion__Cossacks_3_Guardians_of_the_Highlands/?snr=1_7_7_230_150_92,GSC Game World,Strategy,Positive,15.99,"12 Apr, 2017",,Expansion - Cossacks 3: Guardians of the Highlands,http://store.steampowered.com/app/615380/Expansion__Cossacks_3_Guardians_of_the_Highlands/?snr=1_7_7_230_150_92,{}
http://store.steampowered.com/agecheck/app/284430/?snr=1_7_7_230_150_92,OVERKILL - a Starbreeze Studio.,Action,Positive,27.99,"27 Feb, 2014",,PAYDAY 2: The Death Wish Update,http://store.steampowered.com/app/284430/,{}
http://store.steampowered.com/agecheck/app/274161/?snr=1_7_7_230_150_91,OVERKILL - a Starbreeze Studio.,Action,3 user reviews,16.74,"22 Jan, 2014",,PAYDAY 2: The Infamy Update,http://store.steampowered.com/app/274161/,{}
http://store.steampowered.com/agecheck/app/325724/?snr=1_7_7_230_150_88,Techland,Action,Very Positive,45.00,"9 Feb, 2016",79,Dying Light: The Following,http://store.steampowered.com/app/325724/,{}
http://store.steampowered.com/app/623890/White_Noise_2__Astaroth/?snr=1_7_7_230_150_91,Milkstone Studios,Adventure,Positive,4.29,"21 Apr, 2017",,White Noise 2 - Astaroth,http://store.steampowered.com/app/623890/White_Noise_2__Astaroth/?snr=1_7_7_230_150_91,{}
