url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/654660/Pharmakon/?snr=1_7_7_230_150_76,Visumeca Games,Action,5 user reviews,20.69,"20 Jul, 2017",,Pharmakon,http://store.steampowered.com/app/654660/Pharmakon/?snr=1_7_7_230_150_76,{}
http://store.steampowered.com/app/662240/Epitasis/?snr=1_7_7_230_150_76,Epitasis Games,Action,,None,Q2 2018,,Epitasis,http://store.steampowered.com/app/662240/Epitasis/?snr=1_7_7_230_150_76,{}
http://store.steampowered.com/app/563840/Lost_Ember/?snr=1_7_7_230_150_77,Mooneye Studios,Action,,None,2018,,Lost Ember,http://store.steampowered.com/app/563840/Lost_Ember/?snr=1_7_7_230_150_77,{}
http://store.steampowered.com/app/450050/Yon_Paradox/?snr=1_7_7_230_150_73,Digital Mantis,Casual,Mixed,6.29,"6 May, 2016",,Yon Paradox,http://store.steampowered.com/app/450050/Yon_Paradox/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/302850/Team_Indie/?snr=1_7_7_230_150_75,Brightside Games,Action,Mixed,25.99,"8 Oct, 2014",,Team Indie,http://store.steampowered.com/app/302850/Team_Indie/?snr=1_7_7_230_150_75,{}
http://store.steampowered.com/app/473950/Manifold_Garden/?snr=1_7_7_230_150_77,William Chyr Studio,Adventure,,None,2018,,Manifold Garden,http://store.steampowered.com/app/473950/Manifold_Garden/?snr=1_7_7_230_150_77,{}
http://store.steampowered.com/app/246070/Hack_n_Slash/?snr=1_7_7_230_150_75,Double Fine Productions,Adventure,Mixed,25.99,"9 Sep, 2014",,Hack 'n' Slash,http://store.steampowered.com/app/246070/Hack_n_Slash/?snr=1_7_7_230_150_75,{}
http://store.steampowered.com/app/359810/Hare_In_The_Hat/?snr=1_7_7_230_150_73,RunServer,Adventure,Mixed,4.29,"1 Apr, 2015",,Hare In The Hat,http://store.steampowered.com/app/359810/Hare_In_The_Hat/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/460060/Varenje/?snr=1_7_7_230_150_77,Play Cute,Adventure,,None,2017,,Varenje,http://store.steampowered.com/app/460060/Varenje/?snr=1_7_7_230_150_77,{}
http://store.steampowered.com/app/618210/Lanternium/?snr=1_7_7_230_150_77,Blazing Planet Studio,Adventure,,None,February 2018,,Lanternium,http://store.steampowered.com/app/618210/Lanternium/?snr=1_7_7_230_150_77,{}
http://store.steampowered.com/app/386290/Kumoon__Ballistic_Physics_Puzzle/?snr=1_7_7_230_150_73,Lucky You Studio,Action,Mixed,6.29,"10 Nov, 2015",,Kumoon : Ballistic Physics Puzzle,http://store.steampowered.com/app/386290/Kumoon__Ballistic_Physics_Puzzle/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/573660/AereA/?snr=1_7_7_230_150_73,Triangle Studios,Action,9 user reviews,55.99,"2 Jun, 2017",,AereA,http://store.steampowered.com/app/573660/AereA/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/23500/Puzzle_Quest_Galactrix/?snr=1_7_7_230_150_73,Infinite Interactive,Casual,Mixed,19.99,"24 Feb, 2009",,Puzzle Quest: Galactrix,http://store.steampowered.com/app/23500/Puzzle_Quest_Galactrix/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/704190/Bitcoin_Collector/?snr=1_7_7_230_150_74,Blender Games,Action,1 user reviews,2.19,"13 Sep, 2017",,Bitcoin Collector,http://store.steampowered.com/app/704190/Bitcoin_Collector/?snr=1_7_7_230_150_74,{}
http://store.steampowered.com/app/370440/No70_Eye_of_Basir/?snr=1_7_7_230_150_73,Oldmoustache Gameworks,Adventure,Mixed,19.99,"28 Jun, 2017",,No70: Eye of Basir,http://store.steampowered.com/app/370440/No70_Eye_of_Basir/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/395160/Toby_The_Secret_Mine/?snr=1_7_7_230_150_73,Lukas Navratil,Adventure,Mixed,19.99,"20 Oct, 2015",,Toby: The Secret Mine,http://store.steampowered.com/app/395160/Toby_The_Secret_Mine/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/491030/The_Last_Error/?snr=1_7_7_230_150_73,Anatoliy Loginovskikh,Action,Mixed,4.29,"1 Nov, 2016",,The Last Error,http://store.steampowered.com/app/491030/The_Last_Error/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/231310/MirrorMoon_EP/?snr=1_7_7_230_150_73,Santa Ragione,Adventure,Mixed,27.99,"4 Sep, 2013",,MirrorMoon EP,http://store.steampowered.com/app/231310/MirrorMoon_EP/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/329200/Astray/?snr=1_7_7_230_150_75,Aegon Games,Adventure,Mixed,13.99,"3 Feb, 2015",,Astray,http://store.steampowered.com/app/329200/Astray/?snr=1_7_7_230_150_75,{}
http://store.steampowered.com/app/371280/Rolling_Shapes/?snr=1_7_7_230_150_73,"Vertex Games, S.C.",Indie,Mixed,1.15,"5 Jun, 2015",,Rolling Shapes,http://store.steampowered.com/app/371280/Rolling_Shapes/?snr=1_7_7_230_150_73,{}
http://store.steampowered.com/app/658560/Zup_7/?snr=1_7_7_230_150_77,Quiet River,Casual,,None,"12 Dec, 2017",,Zup! 7,http://store.steampowered.com/app/658560/Zup_7/?snr=1_7_7_230_150_77,{}
