url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/203776/DLC__Crusader_Kings_II_Ruler_Designer/?snr=1_7_7_230_150_324,Paradox Development Studio,Strategy,Mostly Negative,8.99,"18 Apr, 2012",,DLC - Crusader Kings II: Ruler Designer,http://store.steampowered.com/app/203776/DLC__Crusader_Kings_II_Ruler_Designer/?snr=1_7_7_230_150_324,{}
http://store.steampowered.com/app/502360/Sengoku_Jidai_Gempei_Kassen/?snr=1_7_7_230_150_284,Byzantine Games,Strategy,No user reviews,8.39,"8 Sep, 2016",,Sengoku Jidai: Gempei Kassen,http://store.steampowered.com/app/502360/Sengoku_Jidai_Gempei_Kassen/?snr=1_7_7_230_150_284,{}
http://store.steampowered.com/app/486960/Meridian_Squad_22__Soundtrack/?snr=1_7_7_230_150_281,Elder Games,Action,,4.29,"2 Jun, 2016",,Meridian: Squad 22 - Soundtrack,http://store.steampowered.com/app/486960/Meridian_Squad_22__Soundtrack/?snr=1_7_7_230_150_281,{}
http://store.steampowered.com/app/206190/Gunpoint/?snr=1_7_7_230_150_324,Suspicious Developments,Action,Overwhelmingly Positive,16.99,"3 Jun, 2013",83,Gunpoint,http://store.steampowered.com/app/206190/Gunpoint/?snr=1_7_7_230_150_324,{}
http://store.steampowered.com/app/419060/Chaos_Reborn_Demo/?snr=1_7_7_230_150_314,Snapshot Games Inc.,Indie,Mixed,None,"26 Oct, 2015",,Chaos Reborn Demo,http://store.steampowered.com/app/419060/Chaos_Reborn_Demo/?snr=1_7_7_230_150_314,{}
http://store.steampowered.com/app/465340/Abrix_the_robot__bonus_soundtrack_DLC/?snr=1_7_7_230_150_323,EJRGames,Casual,,2.19,"29 Apr, 2016",,Abrix the robot - bonus soundtrack DLC,http://store.steampowered.com/app/465340/Abrix_the_robot__bonus_soundtrack_DLC/?snr=1_7_7_230_150_323,{}
http://store.steampowered.com/app/394811/Fantasy_Grounds__Interface_Zero_20_for_Savage_Worlds/?snr=1_7_7_230_150_312,"SmiteWorks USA, LLC",Indie,2 user reviews,37.99,"13 Aug, 2015",,Fantasy Grounds - Interface Zero 2.0 for Savage Worlds,http://store.steampowered.com/app/394811/Fantasy_Grounds__Interface_Zero_20_for_Savage_Worlds/?snr=1_7_7_230_150_312,{}
http://store.steampowered.com/app/759170/Armageddon__TCWE/?snr=1_7_7_230_150_352,Alina Digital,Strategy,,None,"14 Dec, 2017",,Armageddon - TCWE,http://store.steampowered.com/app/759170/Armageddon__TCWE/?snr=1_7_7_230_150_352,{}
http://store.steampowered.com/app/436450/Talisman_The_Horus_Heresy__Heroes__Villains_2/?snr=1_7_7_230_150_315,Nomad Games,Strategy,2 user reviews,8.39,"22 Feb, 2016",,Talisman: The Horus Heresy - Heroes & Villains 2,http://store.steampowered.com/app/436450/Talisman_The_Horus_Heresy__Heroes__Villains_2/?snr=1_7_7_230_150_315,{}
http://store.steampowered.com/app/616280/Mighty_Party_Back_to_Transylvania_Pack/?snr=1_7_7_230_150_315,Panoramik Inc,Action,No user reviews,19.99,"5 May, 2017",,Mighty Party: Back to Transylvania Pack,http://store.steampowered.com/app/616280/Mighty_Party_Back_to_Transylvania_Pack/?snr=1_7_7_230_150_315,{}
