#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
812,Garry's Mod,29/11/06,$9.99,92% (95%),"14,613,031 ±122,330",106:11 (17:05),Facepunch Studios,Valve,Simulation
1275,Robocraft,"Aug 24, 2017",Free,31% (72%),"13,540,765 ±117,888",18:47 (02:14),Freejam,Freejam,Simulation
60,War Thunder,"Aug 15, 2013",Free,51% (82%/81%),"13,075,629 ±115,902",47:20 (04:24),Gaijin Entertainment,Gaijin Entertainment,Simulation
41,Don't Starve Together,"Apr 21, 2016",$14.99,95% (96%/83%),"7,050,925 ±85,643",26:22 (08:37),Klei Entertainment,Klei Entertainment,Simulation
2638,Clicker Heroes,"May 13, 2015",Free,74% (90%),"5,349,748 ±74,730",107:55 (06:15),Playsaurus,Playsaurus,Simulation
2285,theHunter Classic,03/06/14,Free,5% (42%),"5,249,111 ±74,031",06:57 (00:39),"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",Simulation
83,Euro Truck Simulator 2,16/01/13,$19.99,95% (96%/79%),"4,649,701 ±69,719",71:26 (20:39),SCS Software,SCS Software,Simulation
87,Don't Starve,,$14.99,97% (97%/79%),"4,589,043 ±69,267",23:55 (06:06),Klei Entertainment,Klei Entertainment,Simulation
2466,Creativerse,"May 8, 2017",Free,46% (80%),"4,430,505 ±68,071",08:37 (01:21),Playful Corporation,Playful Corporation,Simulation
153,Arma 2: Operation Arrowhead,29/06/10,$3.99,81% (92%/73%),"4,326,560 ±67,275",55:15 (03:46),Bohemia Interactive,Bohemia Interactive,Simulation
24,Cities: Skylines,10/03/15,$29.99,81% (92%/85%),"4,233,643 ±66,555",42:14 (12:03),Colossal Order Ltd.,Paradox Interactive,Simulation
263,Fallout Shelter,29/03/17,Free,58% (85%/63%),"3,870,799 ±63,663",11:09 (01:55),Bethesda Game Studios,Bethesda Softworks,Simulation
18,DiRT 3 Complete Edition,"Apr 1, 2015",$2.99,67% (88%/86%),"3,850,947 ±63,500",06:00 (02:06),"Codemasters Racing Studio, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",Simulation
732,RaceRoom Racing Experience,"Feb 12, 2013",Free,13% (57%),"3,847,087 ±63,469",04:04 (00:26),Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",Simulation
135,Arma 3,"Sep 12, 2013",$39.99,74% (90%/74%),"3,726,599 ±62,475",188:44 (32:53),Bohemia Interactive,Bohemia Interactive,Simulation
538,The Forest,"May 30, 2014",$14.99,81% (92%),"3,564,201 ±61,108",22:36 (11:35),Endnight Games Ltd,Endnight Games Ltd,Simulation
115,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,"Sep 13, 2011",$19.99,85% (93%/76%),"3,547,382 ±60,965",24:26 (04:22),Tripwire Interactive,Tripwire Interactive,Simulation
661,Viscera Cleanup Detail: Shadow Warrior,"Oct 11, 2013",N/A,44% (79%),"3,475,696 ±60,350",01:18 (00:19),RuneStorm,Devolver Digital,Simulation
6,Stardew Valley,"Feb 26, 2016",$14.99,97% (97%/89%),"3,353,553 ±59,288",51:19 (24:49),ConcernedApe,Chucklefish,Simulation
275,Goat Simulator,"Apr 1, 2014",$9.99,67% (88%/62%),"3,028,206 ±56,357",07:41 (02:24),Coffee Stain Studios,Coffee Stain Publishing,Simulation
