#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
1,Team Fortress 2,"Oct 10, 2007",Free,85% (93%/92%),"43,952,136 ±205,546",78:12 (03:49),Valve,Valve,Free to Play
664,Unturned,07/07/17,Free,77% (91%),"33,517,329 ±181,569",20:54 (02:32),Smartly Dressed Games,Smartly Dressed Games,Free to Play
62,Warframe,25/03/13,Free,77% (91%/69%),"20,042,461 ±142,449",73:02 (04:15),Digital Extremes,Digital Extremes,Free to Play
635,Heroes & Generals,"Oct 18, 2016",Free,23% (66%),"16,149,604 ±128,394",12:24 (00:50),Reto-Moto,Reto-Moto,Free to Play
1029,Paladins,"Sep 15, 2016",Free,58% (85%),"15,693,568 ±126,629",22:25 (04:06),Hi-Rez Studios,Hi-Rez Studios,Free to Play
273,Robocraft,"Aug 24, 2017",Free,31% (72%),"13,540,765 ±117,888",18:47 (02:14),Freejam,Freejam,Free to Play
19,War Thunder,"Aug 15, 2013",Free,51% (82%/81%),"13,075,629 ±115,902",47:20 (04:24),Gaijin Entertainment,Gaijin Entertainment,Free to Play
364,Trove,09/07/15,Free,40% (77%),"8,981,775 ±96,468",20:27 (01:55),Trion Worlds,Trion Worlds,Free to Play
181,No More Room in Hell,"Oct 31, 2013",Free,70% (89%),"8,638,782 ±94,642",06:57 (01:19),No More Room in Hell Team,Lever Games,Free to Play
11,PlanetSide 2,20/11/12,Free,53% (83%/84%),"8,604,042 ±94,455",24:27 (02:22),Daybreak Game Company,Daybreak Game Company,Free to Play
8,Path of Exile,"Oct 23, 2013",Free,81% (92%/86%),"8,550,277 ±94,165",65:05 (04:08),Grinding Gear Games,Grinding Gear Games,Free to Play
79,Warface,01/07/14,Free,28% (70%/62%),"8,517,742 ±93,988",15:51 (01:41),Crytek,My.com,Free to Play
819,Brawlhalla,"Oct 17, 2017",Free,61% (86%),"8,374,094 ±93,206",13:58 (02:12),Blue Mammoth Games,Blue Mammoth Games,Free to Play
77,Dirty Bomb,2015-06-01,Free,46% (80%/63%),"8,234,581 ±92,440",11:28 (01:03),Splash Damage,Warchest Ltd.,Free to Play
214,Counter-Strike Nexon: Zombies,"Oct 7, 2014",Free,23% (66%),"8,212,247 ±92,317",16:51 (00:43),Nexon,Nexon Europe GmbH,Free to Play
14,SMITE,"Sep 8, 2015",Free,56% (84%/83%),"6,986,407 ±85,256",38:31 (02:25),Hi-Rez Studios,Hi-Rez Studios,Free to Play
33,Evolve Stage 2,"Feb 10, 2015",Free,23% (66%/77%),"5,990,240 ±79,025",08:49 (01:45),Turtle Rock Studios,2K,Free to Play
50,Loadout,31/01/14,Free,61% (86%/72%),"5,932,890 ±78,650",06:49 (01:47),Edge of Reality,Edge of Reality,Free to Play
18,Marvel Heroes Omega,03/06/13,Free,31% (72%/81%),"5,616,918 ±76,552",28:14 (01:12),Gazillion Entertainment,Gazillion Entertainment,Free to Play
758,APB Reloaded,"Dec 6, 2011",Free,19% (63%),"5,356,641 ±74,777",25:57 (02:13),Reloaded Productions,Reloaded Games,Free to Play
541,Clicker Heroes,"May 13, 2015",Free,74% (90%),"5,349,748 ±74,730",107:55 (06:15),Playsaurus,Playsaurus,Free to Play
512,theHunter Classic,03/06/14,Free,5% (42%),"5,249,111 ±74,031",06:57 (00:39),"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",Free to Play
47,Neverwinter,"Dec 5, 2013",Free,42% (78%/74%),"5,208,580 ±73,748",32:11 (04:50),Cryptic Studios,Perfect World Entertainment,Free to Play
727,Infestation: The New Z,22/11/16,Free,8% (48%),"4,846,288 ±71,163",13:58 (00:52),Fredaikis AB,Fredaikis AB,Free to Play
216,Freestyle 2: Street Basketball,"Apr 1, 2015",Free,33% (73%),"4,711,186 ±70,174",14:47 (01:08),Joycity,Joycity,Free to Play
334,AdVenture Capitalist,30/03/15,Free,74% (90%),"4,559,266 ±69,044",40:19 (03:07),Hyper Hippo Games,Hyper Hippo Games,Free to Play
543,Last Man Standing,29/03/17,Free,19% (63%),"4,502,192 ±68,614",06:24 (01:08),"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,Free to Play
32,TERA,"May 5, 2015",Free,46% (80%/77%),"4,477,102 ±68,425",28:38 (04:12),"Bluehole, Inc.",En Masse Entertainment,Free to Play
303,Creativerse,"May 8, 2017",Free,46% (80%),"4,430,505 ±68,071",08:37 (01:21),Playful Corporation,Playful Corporation,Free to Play
912,Nosgoth,26/03/14,Free,N/A (N/A),"4,292,095 ±67,009",07:25 (00:58),Psyonix,Square Enix,Free to Play
637,Black Squad,28/07/17,Free,31% (72%),"4,258,182 ±66,746",07:51 (01:04),NS STUDIO,NEOWIZ,Free to Play
1031,BLOCKADE 3D,"Dec 19, 2014",Free,15% (59%),"4,084,204 ±65,380",07:32 (00:51),Shumkov Dmitriy,Shumkov Dmitriy,Free to Play
454,Tom Clancy's Ghost Recon Phantoms - EU,"10 Apr, 2014",N/A,29% (71%),"4,058,011 ±65,171",25:31 (03:33),Ubisoft Singapore,Ubisoft,Free to Play
969,Fistful of Frags,"May 9, 2014",Free,77% (91%),"4,023,822 ±64,899",05:11 (01:12),Fistful of Frags Team,Fistful of Frags Team,Free to Play
76,Fallout Shelter,29/03/17,Free,58% (85%/63%),"3,870,799 ±63,663",11:09 (01:55),Bethesda Game Studios,Bethesda Softworks,Free to Play
305,Survarium,"Apr 2, 2015",Free,10% (52%),"3,854,531 ±63,530",07:37 (00:38),Vostok Games,Vostok Games,Free to Play
428,RaceRoom Racing Experience,"Feb 12, 2013",Free,13% (57%),"3,847,087 ±63,469",04:04 (00:26),Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",Free to Play
10,Battlerite,08/11/17,Free,64% (87%/84%),"3,806,557 ±63,136",14:22 (03:11),Stunlock Studios,Stunlock Studios,Free to Play
70,Defiance,04/06/14,Free,38% (76%/64%),"3,788,635 ±62,989",18:02 (02:25),"Trion Worlds, Inc.","Trion Worlds, Inc.",Free to Play
49,HAWKEN,"Feb 14, 2014",Free,53% (83%/73%),"3,743,969 ±62,619",07:00 (00:56),"Hawken Entertainment, Inc.",505 Games,Free to Play
61,Magicka: Wizard Wars,"Apr 28, 2015",N/A,N/A (N/A/69%),"3,530,839 ±60,824",03:50 (00:48),Paradox North,Paradox Interactive,Free to Play
43,Blacklight: Retribution,02/07/12,Free,36% (75%/75%),"3,365,133 ±59,389",11:52 (01:31),Hardsuit Labs,Hardsuit Labs,Free to Play
90,GunZ 2: The Second Duel,"May 1, 2014",Free,24% (67%),"3,361,273 ±59,356",08:01 (00:50),"Masangsoft, Inc.","Masangsoft, Inc.",Free to Play
605,Dungeon Defenders II,20/06/17,Free,34% (74%),"3,305,854 ±58,868",13:04 (02:00),Trendy Entertainment,Trendy Entertainment,Free to Play
275,The Expendabros,"Aug 5, 2014",Free,97% (97%),"3,271,940 ±58,567",02:32 (01:01),Free Lives,Devolver Digital,Free to Play
72,Spiral Knights,14/06/11,Free,53% (83%/64%),"3,219,554 ±58,099",20:07 (01:30),Grey Havens,,Free to Play
16,Realm of the Mad God,"Feb 20, 2012",Free,53% (83%/82%),"3,193,361 ±57,864",23:17 (01:14),Wild Shadow Studios,Deca Games,Free to Play
941,Gotham City Impostors Free to Play,"Aug 30, 2012",Free,56% (84%),"3,137,666 ±57,360",04:39 (00:51),"Monolith Productions, Inc.",Warner Bros. Interactive Entertainment,Free to Play
53,Block N Load,"Apr 30, 2015",Free,40% (77%/72%),"3,085,279 ±56,883",08:35 (01:08),"Jagex, Artplant",Jagex,Free to Play
81,Firefall,29/07/14,Free,18% (62%/60%),"3,016,074 ±56,245",13:24 (01:22),Red 5 Studios,Red 5 Studios,Free to Play
277,Fishing Planet,"Aug 28, 2017",Free,36% (75%),"2,964,515 ±55,765",12:21 (00:45),Fishing Planet LLC,Fishing Planet LLC,Free to Play
671,Argo,22/06/17,Free,7% (46%),"2,911,853 ±55,271",02:03 (00:26),Bohemia Interactive,Bohemia Interactive,Free to Play
699,S.K.I.L.L. - Special Force 2 (Shooter),"May 19, 2015",Free,26% (69%),"2,908,545 ±55,239",11:46 (01:29),"Dragonfly GF Co., LTD",Gameforge 4D GmbH,Free to Play
12,RIFT,01/03/11,Free,38% (76%/84%),"2,879,318 ±54,963",40:33 (03:22),Trion Worlds,Trion Worlds,Free to Play
84,Tactical Intervention,"Oct 8, 2013",N/A,18% (62%/47%),"2,823,899 ±54,434",03:48 (00:25),"FIX Korea, Co.LTD, FIX Games, Co. LTD","FIX Games, Co. LTD",Free to Play
336,Toribash,"May 16, 2014",Free,67% (88%),"2,820,866 ±54,405",05:17 (00:43),Nabi Studios,"Nicalis, Inc.",Free to Play
150,World of Guns: Gun Disassembly,"May 21, 2014",Free,48% (81%),"2,775,924 ±53,973",03:19 (00:37),Noble Empire Corp.,Noble Empire Corp.,Free to Play
185,World of Tanks Blitz,09/11/16,Free,31% (72%),"2,704,789 ±53,280",27:54 (01:44),Wargaming Group Limited,Wargaming Group Limited,Free to Play
119,Magic Duels,29/07/15,Free,29% (71%),"2,651,300 ±52,754",30:46 (02:16),Stainless Games Ltd.,Wizards of the Coast LLC,Free to Play
