#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
373,PLAYERUNKNOWN'S BATTLEGROUNDS,23/03/17,$29.99,15% (59%),"25,460,586 ±159,631",145:58 (89:47),PUBG Corporation,PUBG Corporation,MMO
544,Heroes & Generals,"Oct 18, 2016",Free,23% (66%),"16,149,604 ±128,394",12:24 (00:50),Reto-Moto,Reto-Moto,MMO
324,Robocraft,"Aug 24, 2017",Free,31% (72%),"13,540,765 ±117,888",18:47 (02:14),Freejam,Freejam,MMO
17,War Thunder,"Aug 15, 2013",Free,51% (82%/81%),"13,075,629 ±115,902",47:20 (04:24),Gaijin Entertainment,Gaijin Entertainment,MMO
310,Trove,09/07/15,Free,40% (77%),"8,981,775 ±96,468",20:27 (01:55),Trion Worlds,Trion Worlds,MMO
7,PlanetSide 2,20/11/12,Free,53% (83%/84%),"8,604,042 ±94,455",24:27 (02:22),Daybreak Game Company,Daybreak Game Company,MMO
3,Path of Exile,"Oct 23, 2013",Free,81% (92%/86%),"8,550,277 ±94,165",65:05 (04:08),Grinding Gear Games,Grinding Gear Games,MMO
58,Warface,01/07/14,Free,28% (70%/62%),"8,517,742 ±93,988",15:51 (01:41),Crytek,My.com,MMO
357,Counter-Strike Nexon: Zombies,"Oct 7, 2014",Free,23% (66%),"8,212,247 ±92,317",16:51 (00:43),Nexon,Nexon Europe GmbH,MMO
228,H1Z1,"Feb 17, 2016",$19.99,19% (63%),"7,931,843 ±90,753",85:41 (17:48),Daybreak Game Company,Daybreak Game Company,MMO
249,H1Z1 Test Server,"Feb 24, 2016",N/A,11% (54%),"7,931,843 ±90,753",02:05 (00:17),Daybreak Game Company,Daybreak Game Company,MMO
559,ARK: Survival Of The Fittest,"Aug 29, 2017",N/A,22% (65%),"7,311,202 ±87,186",03:18 (00:24),"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,MMO
466,Rust,"Dec 11, 2013",$19.99,46% (80%),"6,316,414 ±81,121",118:54 (24:30),Facepunch Studios,Facepunch Studios,MMO
16,Marvel Heroes Omega,03/06/13,Free,31% (72%/81%),"5,616,918 ±76,552",28:14 (01:12),Gazillion Entertainment,Gazillion Entertainment,MMO
47,ARK: Survival Evolved,"Aug 29, 2017",$23.99,25% (68%/70%),"5,484,574 ±75,655",144:18 (18:59),"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,MMO
576,APB Reloaded,"Dec 6, 2011",Free,19% (63%),"5,356,641 ±74,777",25:57 (02:13),Reloaded Productions,Reloaded Games,MMO
33,Neverwinter,"Dec 5, 2013",Free,42% (78%/74%),"5,208,580 ±73,748",32:11 (04:50),Cryptic Studios,Perfect World Entertainment,MMO
195,Infestation: The New Z,22/11/16,Free,8% (48%),"4,846,288 ±71,163",13:58 (00:52),Fredaikis AB,Fredaikis AB,MMO
294,Freestyle 2: Street Basketball,"Apr 1, 2015",Free,33% (73%),"4,711,186 ±70,174",14:47 (01:08),Joycity,Joycity,MMO
102,Last Man Standing,29/03/17,Free,19% (63%),"4,502,192 ±68,614",06:24 (01:08),"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,MMO
25,TERA,"May 5, 2015",Free,46% (80%/77%),"4,477,102 ±68,425",28:38 (04:12),"Bluehole, Inc.",En Masse Entertainment,MMO
247,Creativerse,"May 8, 2017",Free,46% (80%),"4,430,505 ±68,071",08:37 (01:21),Playful Corporation,Playful Corporation,MMO
229,Survarium,"Apr 2, 2015",Free,10% (52%),"3,854,531 ±63,530",07:37 (00:38),Vostok Games,Vostok Games,MMO
52,Defiance,04/06/14,Free,38% (76%/64%),"3,788,635 ±62,989",18:02 (02:25),"Trion Worlds, Inc.","Trion Worlds, Inc.",MMO
135,DayZ,"Dec 16, 2013",$34.99,19% (63%),"3,754,170 ±62,704",79:47 (21:14),Bohemia Interactive,Bohemia Interactive,MMO
