#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
161,PAYDAY 2,"Aug 13, 2013",N/A,51% (82%/79%),"16,217,155 ±128,653",54:22 (10:01),OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,RPG
2233,Robocraft,"Aug 24, 2017",Free,31% (72%),"13,540,765 ±117,888",18:47 (02:14),Freejam,Freejam,RPG
2,The Elder Scrolls V: Skyrim,10/11/11,$19.99,85% (93%/94%),"11,816,152 ±110,323",122:21 (50:39),Bethesda Game Studios,Bethesda Softworks,RPG
71,Terraria,"May 16, 2011",$9.99,97% (97%/83%),"9,555,819 ±99,444",82:43 (24:32),Re-Logic,Re-Logic,RPG
1490,Trove,09/07/15,Free,40% (77%),"8,981,775 ±96,468",20:27 (01:55),Trion Worlds,Trion Worlds,RPG
43,Path of Exile,"Oct 23, 2013",Free,81% (92%/86%),"8,550,277 ±94,165",65:05 (04:08),Grinding Gear Games,Grinding Gear Games,RPG
26,Borderlands 2,"Sep 17, 2012",$19.99,95% (96%/89%),"8,269,872 ±92,634",60:32 (23:08),"Gearbox Software, Aspyr (Mac & Linux)","2K Games, Aspyr (Mac & Linux)",RPG
2939,ARK: Survival Of The Fittest,"Aug 29, 2017",N/A,22% (65%),"7,311,202 ±87,186",03:18 (00:24),"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,RPG
258,The Elder Scrolls V: Skyrim Special Edition,"Oct 27, 2016",$39.99,40% (77%/74%),"6,321,652 ±81,154",36:31 (07:46),Bethesda Game Studios,Bethesda Softworks,RPG
1564,Rust,"Dec 11, 2013",$19.99,46% (80%),"6,316,414 ±81,121",118:54 (24:30),Facepunch Studios,Facepunch Studios,RPG
104,Marvel Heroes Omega,03/06/13,Free,31% (72%/81%),"5,616,918 ±76,552",28:14 (01:12),Gazillion Entertainment,Gazillion Entertainment,RPG
337,ARK: Survival Evolved,"Aug 29, 2017",$59.99,25% (68%/70%),"5,484,574 ±75,655",144:18 (18:59),"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,RPG
2839,Clicker Heroes,"May 13, 2015",Free,74% (90%),"5,349,748 ±74,730",107:55 (06:15),Playsaurus,Playsaurus,RPG
265,Neverwinter,"Dec 5, 2013",Free,42% (78%/74%),"5,208,580 ±73,748",32:11 (04:50),Cryptic Studios,Perfect World Entertainment,RPG
30,The Witcher 2: Assassins of Kings Enhanced Edition,"Apr 16, 2012",$19.99,67% (88%/88%),"5,204,996 ±73,723",15:28 (04:50),CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",RPG
57,Fallout 4,09/11/15,$29.99,25% (68%/84%),"5,039,290 ±72,552",115:05 (56:58),Bethesda Game Studios,Bethesda Softworks,RPG
2024,Infestation: The New Z,22/11/16,Free,8% (48%),"4,846,288 ±71,163",13:58 (00:52),Fredaikis AB,Fredaikis AB,RPG
206,TERA,"May 5, 2015",Free,46% (80%/77%),"4,477,102 ±68,425",28:38 (04:12),"Bluehole, Inc.",En Masse Entertainment,RPG
604,Creativerse,"May 8, 2017",Free,46% (80%),"4,430,505 ±68,071",08:37 (01:21),Playful Corporation,Playful Corporation,RPG
1354,BioShock Remastered,"Sep 15, 2016",$19.99,12% (55%),"3,947,724 ±64,287",05:13 (02:00),"2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",RPG
1,BioShock,"Aug 21, 2007",N/A,89% (94%/96%),"3,947,448 ±64,285",07:16 (02:46),"2K Boston, 2K Australia",2K Games,RPG
1940,Castle Crashers,"Sep 26, 2012",$14.99,95% (96%),"3,914,362 ±64,017",10:13 (04:11),The Behemoth,The Behemoth,RPG
426,Fallout Shelter,29/03/17,Free,58% (85%/63%),"3,870,799 ±63,663",11:09 (01:55),Bethesda Game Studios,Bethesda Softworks,RPG
247,Magicka,25/01/11,$9.99,85% (93%/74%),"3,861,700 ±63,588",10:11 (04:44),Arrowhead Game Studios,Paradox Interactive,RPG
2557,Survarium,"Apr 2, 2015",Free,10% (52%),"3,854,531 ±63,530",07:37 (00:38),Vostok Games,Vostok Games,RPG
412,Defiance,04/06/14,Free,38% (76%/64%),"3,788,635 ±62,989",18:02 (02:25),"Trion Worlds, Inc.","Trion Worlds, Inc.",RPG
39,The Witcher: Enhanced Edition Director's Cut,"Sep 19, 2008",$9.99,61% (86%/86%),"3,765,199 ±62,795",15:36 (02:59),CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",RPG
29,Torchlight II,"Sep 20, 2012",$19.99,92% (95%/88%),"3,702,887 ±62,277",25:15 (11:25),Runic Games,Runic Games,RPG
120,Borderlands,"Oct 26, 2009",$19.99,89% (94%/81%),"3,642,505 ±61,771",29:21 (12:19),Gearbox Software,2K Games,RPG
125,Dead Island,,$19.99,N/A (N/A/80%),"3,575,505 ±61,205",18:36 (07:30),Techland,Deep Silver,RPG
775,BioShock 2 Remastered,"Sep 15, 2016",$19.99,6% (45%),"3,524,773 ±60,772",05:18 (01:53),"2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel",2K,RPG
24,Stardew Valley,"Feb 26, 2016",$14.99,97% (97%/89%),"3,353,553 ±59,288",51:19 (24:49),ConcernedApe,Chucklefish,RPG
1061,Dungeon Defenders II,20/06/17,Free,34% (74%),"3,305,854 ±58,868",13:04 (02:00),Trendy Entertainment,Trendy Entertainment,RPG
63,The Binding of Isaac,"Sep 28, 2011",$4.99,92% (95%/84%),"3,250,986 ±58,380",31:25 (06:03),Edmund McMillen and Florian Himsl,Edmund McMillen,RPG
418,Spiral Knights,14/06/11,Free,53% (83%/64%),"3,219,554 ±58,099",20:07 (01:30),Grey Havens,,RPG
93,Realm of the Mad God,"Feb 20, 2012",Free,53% (83%/82%),"3,193,361 ±57,864",23:17 (01:14),Wild Shadow Studios,Deca Games,RPG
119,Starbound,22/07/16,$14.99,74% (90%/81%),"3,124,431 ±57,240",57:21 (26:14),Chucklefish,Chucklefish,RPG
