game,release_date,price,score,userscore,metascore,owners,playtime,median_playtime,developer,publisher,genre
Unturned,2017-07-07,0.0,77.0,91.0,0.0,33517329,20.9,2.53333333333,Smartly Dressed Games,Smartly Dressed Games,Adventure
PLAYERUNKNOWN'S BATTLEGROUNDS,2017-03-23,29.99,15.0,59.0,0.0,25460586,145.966666667,89.7833333333,PUBG Corporation,PUBG Corporation,Adventure
Terraria,2011-05-16,9.99,97.0,97.0,83.0,9555819,82.7166666667,24.5333333333,Re-Logic,Re-Logic,Adventure
Trove,2015-07-09,0.0,40.0,77.0,0.0,8981775,20.45,1.91666666667,Trion Worlds,Trion Worlds,Adventure
Grand Theft Auto V,2015-04-13,29.99,24.0,67.0,96.0,8881414,126.466666667,66.2,Rockstar North,Rockstar Games,Adventure
Path of Exile,2013-10-23,0.0,81.0,92.0,86.0,8550277,65.0833333333,4.13333333333,Grinding Gear Games,Grinding Gear Games,Adventure
H1Z1,2016-02-17,19.99,19.0,63.0,0.0,7931843,85.6833333333,17.8,Daybreak Game Company,Daybreak Game Company,Adventure
ARK: Survival Of The Fittest,2017-08-29,0.0,22.0,65.0,0.0,7311202,3.3,0.4,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,Adventure
Don't Starve Together,2016-04-21,14.99,95.0,96.0,83.0,7050925,26.3666666667,8.61666666667,Klei Entertainment,Klei Entertainment,Adventure
Rust,2013-12-11,19.99,46.0,80.0,0.0,6316414,118.9,24.5,Facepunch Studios,Facepunch Studios,Adventure
ARK: Survival Evolved,2017-08-29,59.99,25.0,68.0,70.0,5484574,144.3,18.9833333333,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,Adventure
Clicker Heroes,2015-05-13,0.0,74.0,90.0,0.0,5349748,107.916666667,6.25,Playsaurus,Playsaurus,Adventure
theHunter Classic,2014-06-03,0.0,5.0,42.0,0.0,5249111,6.95,0.65,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",Adventure
Neverwinter,2013-12-05,0.0,42.0,78.0,74.0,5208580,32.1833333333,4.83333333333,Cryptic Studios,Perfect World Entertainment,Adventure
Tomb Raider,2013-03-04,19.99,92.0,95.0,86.0,5055006,15.5666666667,10.7166666667,"Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",Adventure
Life is Strange - Episode 1,2015-01-29,0.0,95.0,96.0,0.0,4959883,8.31666666667,2.73333333333,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",Adventure
Don't Starve,,14.99,97.0,97.0,79.0,4589043,23.9166666667,6.1,Klei Entertainment,Klei Entertainment,Adventure
Last Man Standing,2017-03-29,0.0,19.0,63.0,0.0,4502192,6.4,1.13333333333,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,Adventure
TERA,2015-05-05,0.0,46.0,80.0,77.0,4477102,28.6333333333,4.2,"Bluehole, Inc.",En Masse Entertainment,Adventure
Just Cause 2,2010-03-23,14.99,77.0,91.0,84.0,4443740,16.15,3.55,Avalanche Studios,Square Enix,Adventure
Creativerse,2017-05-08,0.0,46.0,80.0,0.0,4430505,8.61666666667,1.35,Playful Corporation,Playful Corporation,Adventure
Middle-earth: Shadow of Mordor,2014-09-30,19.99,77.0,91.0,0.0,4408999,20.75,14.0166666667,"Monolith Productions, Feral Interactive (Mac), Feral Interactive (Linux)","WB Games, Feral Interactive (Mac)",Adventure
Grand Theft Auto IV,2008-12-02,19.99,19.0,63.0,90.0,4386942,24.3166666667,7.81666666667,"Rockstar North, Rockstar Toronto",Rockstar Games,Adventure
LIMBO,2011-08-02,9.99,89.0,94.0,88.0,4384736,3.06666666667,1.86666666667,Playdead,Playdead,Adventure
Outlast,2013-09-04,19.99,95.0,96.0,80.0,4384461,4.06666666667,1.7,Red Barrels,Red Barrels,Adventure
Castle Crashers,2012-09-26,14.99,95.0,96.0,0.0,3914362,10.2166666667,4.18333333333,The Behemoth,The Behemoth,Adventure
Torchlight II,2012-09-20,19.99,92.0,95.0,88.0,3702887,25.25,11.4166666667,Runic Games,Runic Games,Adventure
Batman: Arkham City - Game of the Year Edition,2012-09-07,19.99,92.0,95.0,91.0,3695442,16.7833333333,8.26666666667,"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",Adventure
The Forest,2014-05-30,14.99,81.0,92.0,0.0,3564201,22.6,11.5833333333,Endnight Games Ltd,Endnight Games Ltd,Adventure
The Walking Dead,2012-04-24,24.99,95.0,96.0,82.0,3562271,11.3833333333,8.73333333333,Telltale Games,Telltale Games,Adventure
Dishonored,2012-10-08,9.99,95.0,96.0,91.0,3450881,17.45,10.05,Arkane Studios,Bethesda Softworks,Adventure
Amnesia: The Dark Descent,2010-09-08,19.99,95.0,96.0,85.0,3429375,4.23333333333,1.35,Frictional Games,Frictional Games,Adventure
Cry of Fear,2013-04-25,0.0,61.0,86.0,0.0,3353001,2.63333333333,0.733333333333,Team Psykskallar,Team Psykskallar,Adventure
The Expendabros,2014-08-05,0.0,97.0,97.0,0.0,3271940,2.53333333333,1.01666666667,Free Lives,Devolver Digital,Adventure
The Binding of Isaac,2011-09-28,4.99,92.0,95.0,84.0,3250986,31.4166666667,6.05,Edmund McMillen and Florian Himsl,Edmund McMillen,Adventure
Far Cry 3,2012-12-04,19.99,70.0,89.0,88.0,3231961,28.0,17.0833333333,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,Adventure
Spiral Knights,2011-06-14,0.0,53.0,83.0,64.0,3219554,20.1166666667,1.5,Grey Havens,,Adventure
Starbound,2016-07-22,14.99,74.0,90.0,81.0,3124431,57.35,26.2333333333,Chucklefish,Chucklefish,Adventure
Trine 2: Complete Story,2013-06-06,19.99,95.0,96.0,84.0,2980783,6.53333333333,3.26666666667,Frozenbyte,Frozenbyte,Adventure
Just Survive,2015-01-15,19.99,17.0,61.0,0.0,2941079,63.2833333333,15.4166666667,Daybreak Game Company,Daybreak Game Company,Adventure
S.K.I.L.L. - Special Force 2 (Shooter),2015-05-19,0.0,26.0,69.0,0.0,2908545,11.7666666667,1.48333333333,"Dragonfly GF Co., LTD",Gameforge 4D GmbH,Adventure
Mirror's Edge,2009-01-14,19.99,67.0,88.0,81.0,2893931,4.85,2.15,DICE,Electronic Arts,Adventure
BattleBlock Theater,2014-05-15,14.99,97.0,97.0,85.0,2891174,8.98333333333,4.36666666667,The Behemoth,The Behemoth,Adventure
Darksiders Warmastered Edition,2016-11-29,19.99,58.0,85.0,0.0,2820315,6.8,3.15,"KAIKO, Vigil Games",THQ Nordic,Adventure
STAR WARS - Knights of the Old Republic,2009-09-05,9.99,67.0,88.0,0.0,2817558,14.25,2.85,"BioWare, Aspyr (Mac)","LucasArts, Aspyr (Mac), Disney Interactive, Lucasfilm",Adventure
